SPECTRUM - MS
20210126_ADHclean.RAW
FTMS + p NSI Full ms [1500.0000-15000.0000]
Scan #: 5-162
RT: 0.13-3.89
AV: 150
Data points: 51817
Mass	Intensity
1508.420625	0.000000
1508.452070	0.000000
1508.483516	0.000000
1508.514963	1.523187
1508.546410	3.077420
1508.577859	5.513958
1508.609309	7.968499
1508.640760	10.525034
1508.672212	13.083684
1508.703665	13.924920
1508.735119	14.731250
1508.766574	13.663308
1508.798030	12.557229
1508.829486	9.957028
1508.860944	7.326389
1508.892403	4.986629
1508.923863	2.634740
1508.955323	1.318858
1508.986785	0.011215
1509.018248	0.000000
1509.049712	0.000000
1509.081176	0.000000
1509.112642	0.000000
1509.238515	0.000000
1509.269985	0.000000
1509.301457	0.000000
1509.332929	0.000000
1509.364403	1.766899
1509.395877	3.295933
1509.427353	4.107635
1509.458829	3.689993
1509.490307	2.382121
1509.521785	0.026045
1509.553265	0.000000
1509.584745	0.000000
1509.616227	0.000000
1509.647709	0.000000
1511.601543	0.000000
1511.633088	0.000000
1511.664633	0.000000
1511.696180	0.000000
1511.727727	4.311096
1511.759276	7.470105
1511.790825	8.806773
1511.822376	7.342452
1511.853927	4.009741
1511.885479	0.035019
1511.917033	0.000000
1511.948587	0.000000
1511.980143	0.000000
1512.011699	0.000000
1512.043256	0.000000
1512.074815	0.000000
1512.106374	0.000000
1512.137934	0.000000
1512.169496	1.533272
1512.201058	3.096196
1512.232621	4.079553
1512.264186	5.051750
1512.295751	5.442989
1512.327317	5.823022
1512.358884	5.353217
1512.390453	4.866989
1512.422022	3.784781
1512.453592	2.691033
1512.485163	1.353320
1512.516736	0.010857
1512.548309	0.000000
1512.579883	0.000000
1512.611458	0.000000
1512.643034	0.000000
1512.674611	0.000000
1512.706190	0.000000
1512.737769	2.297013
1512.769349	3.788013
1512.800930	4.446804
1512.832512	3.863382
1512.864095	2.432214
1512.895679	0.021351
1512.927264	0.000000
1512.958850	0.000000
1512.990437	0.000000
1513.022025	0.000000
1515.520608	0.000000
1515.552275	0.000000
1515.583943	0.000000
1515.615613	0.000000
1515.647283	1.927827
1515.678954	3.891049
1515.710626	5.027999
1515.742300	6.149840
1515.773974	6.296523
1515.805649	6.425339
1515.837325	5.493755
1515.869003	4.542708
1515.900681	3.243754
1515.932360	1.938383
1515.964040	0.970018
1515.995721	0.007798
1516.027404	0.000000
1516.059087	0.000000
1516.090771	0.000000
1516.122456	0.000000
1518.565199	0.000000
1518.596962	0.000000
1518.628726	0.000000
1518.660491	0.000000
1518.692256	1.723779
1518.724023	2.990257
1518.755791	3.942479
1518.787560	4.052991
1518.819329	3.147469
1518.851100	1.665086
1518.882872	0.022652
1518.914645	0.000000
1518.946418	0.000000
1518.978193	0.000000
1519.009969	0.000000
